human_date_time,link,sender_names_alias
Fri Nov 13 14:06:28 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200911.mbox/<646a352f0911130606m449465e1j28857ceedd5d6ccb@mail.gmail.com>,fguillaume
Fri Nov 20 14:30:24 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200911.mbox/<646a352f0911200629i7a68f032h33cceff975bef9d1@mail.gmail.com>,fguillaume
Mon Nov 16 17:07:15 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200911.mbox/<646a352f0911160906t494b2a4dnd2065f05a0578d8e@mail.gmail.com>,fguillaume
Thu Nov 12 18:11:55 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200911.mbox/<646a352f0911121011t6f00adb9k34449b3d9fb991ab@mail.gmail.com>,fguillaume
Thu Nov 19 11:23:04 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200911.mbox/<646a352f0911190322y3f5f9e45w62e12cfba4b3ea15@mail.gmail.com>,fguillaume
Thu Nov 19 11:44:04 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200911.mbox/<646a352f0911190343x812a593k95204edacea56ce3@mail.gmail.com>,fguillaume
Thu Nov 19 13:43:23 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200911.mbox/<646a352f0911190542k7f4f3089p9d809c33a76e19b6@mail.gmail.com>,fguillaume
Thu Oct 29 18:23:08 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200910.mbox/<646a352f0910291122q22a2339dif0c9c4e27964fd59@mail.gmail.com>,fguillaume
Tue Nov 10 17:53:57 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200911.mbox/<646a352f0911100953m4898cc2ej8698f112a695772@mail.gmail.com>,fguillaume
Tue Nov 17 16:32:10 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200911.mbox/<646a352f0911170831x44f26c0fhfd44bdc29c9d1a62@mail.gmail.com>,fguillaume
Tue Oct 27 14:50:36 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200910.mbox/<646a352f0910270750w52aa87e0gdb76462b79f65c7d@mail.gmail.com>,fguillaume
Tue Oct 27 14:58:10 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200910.mbox/<646a352f0910270757n601525aax49ddebb49562dc54@mail.gmail.com>,fguillaume
Wed Nov  4 16:14:08 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200911.mbox/<646a352f0911040813v7ec262d2h1e5859c84222024e@mail.gmail.com>,fguillaume
Wed Nov  4 17:43:45 2009,http://mail-archives.apache.org/mod_mbox/chemistry-dev/200911.mbox/<646a352f0911040943p54c3c2e9l1e0928fc1360ba11@mail.gmail.com>,fguillaume
