human_date_time,link,sender_names_alias
Sat Jan  3 01:42:59 2004,http://mail-archives.apache.org/mod_mbox/geronimo-scm/200401.mbox/<20040103014256.64443.qmail@minotaur.apache.org>,jules
Sat Jan  3 17:51:33 2004,http://mail-archives.apache.org/mod_mbox/geronimo-scm/200401.mbox/<20040103175131.80203.qmail@minotaur.apache.org>,jules
Sun Jan  4 14:18:08 2004,http://mail-archives.apache.org/mod_mbox/geronimo-scm/200401.mbox/<20040104141806.46716.qmail@minotaur.apache.org>,jules
Sun Jan  4 14:35:08 2004,http://mail-archives.apache.org/mod_mbox/geronimo-scm/200401.mbox/<20040104143506.55556.qmail@minotaur.apache.org>,jules
Sun Jan  4 15:19:39 2004,http://mail-archives.apache.org/mod_mbox/geronimo-scm/200401.mbox/<20040104151931.65383.qmail@minotaur.apache.org>,jules
Sun Jan  4 15:21:39 2004,http://mail-archives.apache.org/mod_mbox/geronimo-scm/200401.mbox/<20040104152137.66256.qmail@minotaur.apache.org>,jules
Sun Jan  4 15:52:01 2004,http://mail-archives.apache.org/mod_mbox/geronimo-scm/200401.mbox/<20040104155159.73064.qmail@minotaur.apache.org>,jules
Wed Jan  7 00:04:30 2004,http://mail-archives.apache.org/mod_mbox/geronimo-scm/200401.mbox/<20040107000428.60086.qmail@minotaur.apache.org>,jules
Wed Jan  7 00:15:40 2004,http://mail-archives.apache.org/mod_mbox/geronimo-scm/200401.mbox/<20040107001538.64197.qmail@minotaur.apache.org>,jules
Wed Jan  7 22:09:50 2004,http://mail-archives.apache.org/mod_mbox/geronimo-scm/200401.mbox/<20040107220947.49716.qmail@minotaur.apache.org>,jules
Wed Jan 21 14:12:15 2004,http://mail-archives.apache.org/mod_mbox/geronimo-scm/200401.mbox/<20040121141213.12569.qmail@minotaur.apache.org>,jules
