human_date_time,link,sender_names_alias
Fri Oct 12 09:39:17 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLb1kfHLaJwop0cGg9wmeOxwZFh+on4gxpzht+M6tAL6JA@mail.gmail.com>,wguo
Fri Oct 19 15:51:00 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLb27Qo7yYyYXY_PDWabRJSNyRrKXAa1jwVvBeh9kRSxFg@mail.gmail.com>,wguo
Mon Oct 15 10:34:25 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLaO8ZjmkiocxP30Kw-9RZJSLis68P_CsCTkbCF49L5kkQ@mail.gmail.com>,wguo
Mon Oct 22 00:26:54 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLYLPaG0CAQ=jR=YYhQbJoL1TNSMrDt8ocxvALCioPyy4A@mail.gmail.com>,wguo
Mon Oct 22 07:42:16 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLakpNBvxT37OveQfzRuS67QmoARLvm3Sc30Lz8UUxmgSg@mail.gmail.com>,wguo
Sun Oct 14 02:24:13 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLabW7K6E5on2zKA9dy-d1BdjnPrjAyAKoR87r9h4wWvsA@mail.gmail.com>,wguo
Sun Oct 21 13:33:47 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLZn8wQWjO5Vo0ktX-Lb+1WxP1kSWMwh1WYezGfyQcE8Qw@mail.gmail.com>,wguo
Thu Oct 11 14:32:23 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLbxxc7J=zoOfo2gRB5=7c6kJ5bDeT56LDbp6n_WubgiYg@mail.gmail.com>,wguo
Tue Oct  9 15:51:19 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLZeDkrNAHnLoTh7n=N-pYrDBnLRPxzxbsEopUoAuMpwAA@mail.gmail.com>,wguo
Tue Oct 16 00:51:03 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLZ_esbZ1em2nptOf6wfYH6fXenLNHkkEk=U37h7rVT3Rw@mail.gmail.com>,wguo
Tue Oct 16 08:59:27 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLa6zMggPeHK6HzmPmyB-0xva9JkFsge96i=1nvXwJw6JQ@mail.gmail.com>,wguo
Wed Oct 10 01:05:36 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLYAECYrBJ5QmdN=5fbXzfk73xa-vkkHHUyS-2C9pUGLzQ@mail.gmail.com>,wguo
Wed Oct 10 07:00:52 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLboywS5=i=W-0fadGZRfx=MtvHq6cjBN=JXrdOuxauoEA@mail.gmail.com>,wguo
Wed Oct 10 12:57:23 2018,http://mail-archives.apache.org/mod_mbox/griffin-dev/201810.mbox/<CAJLvvLZW9ycwjYe2A6AyhcB2GG9bb1WP1FSaxfZKsUZznPcCxA@mail.gmail.com>,wguo
