human_date_time,link,sender_names_alias
Fri Oct 14 18:44:56 2005,http://mail-archives.apache.org/mod_mbox/harmony-dev/200510.mbox/<1129315632.2490.0.camel@Elrond.Rivendell>,dtanzer
Fri Sep 16 19:46:25 2005,http://mail-archives.apache.org/mod_mbox/harmony-dev/200509.mbox/<1126900048.7522.5.camel@Elrond.Rivendell>,dtanzer
Fri Sep 30 08:06:32 2005,http://mail-archives.apache.org/mod_mbox/harmony-dev/200509.mbox/<1128067839.2489.10.camel@Elrond.Rivendell>,dtanzer
Mon Sep 19 17:45:03 2005,http://mail-archives.apache.org/mod_mbox/harmony-dev/200509.mbox/<1127152006.2489.14.camel@Elrond.Rivendell>,dtanzer
Mon Sep 26 14:16:28 2005,http://mail-archives.apache.org/mod_mbox/harmony-dev/200509.mbox/<1127744364.2526.0.camel@Elrond.Rivendell>,dtanzer
Mon Sep 26 18:20:38 2005,http://mail-archives.apache.org/mod_mbox/harmony-dev/200509.mbox/<1127759032.2691.0.camel@Elrond.Rivendell>,dtanzer
Sat Oct  1 11:06:49 2005,http://mail-archives.apache.org/mod_mbox/harmony-dev/200510.mbox/<1128165025.2487.1.camel@Elrond.Rivendell>,dtanzer
Sun Oct  9 11:09:13 2005,http://mail-archives.apache.org/mod_mbox/harmony-dev/200510.mbox/<1128856213.2493.0.camel@Elrond.Rivendell>,dtanzer
Tue Sep 20 06:35:01 2005,http://mail-archives.apache.org/mod_mbox/harmony-dev/200509.mbox/<432FB534.5040706@guglhupf.net>,dtanzer
Tue Sep 20 13:12:16 2005,http://mail-archives.apache.org/mod_mbox/harmony-dev/200509.mbox/<4330124D.7020304@guglhupf.net>,dtanzer
Tue Sep 20 13:34:05 2005,http://mail-archives.apache.org/mod_mbox/harmony-dev/200509.mbox/<43301774.6010308@guglhupf.net>,dtanzer
