human_date_time,link,sender_names_alias
Fri Jun 17 00:29:31 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+vPbdCqEattw07LjDxNfKKT41pZEDD1E49Som32huutqA@mail.gmail.com>,rshaposhnik
Fri Jun 17 00:32:19 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+s9w4sPf6KQYL1nYDvZ-cYdPETz2FdSULsBQ2kyRSwNUw@mail.gmail.com>,rshaposhnik
Fri Jun 17 00:37:47 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+sXM2Ms+PSnKMoYPLjbpQS3fGOJJm5qu+gO1LTrpJHqMg@mail.gmail.com>,rshaposhnik
Fri Jun 17 23:26:46 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+sAzSwGPWuhbmw0gPaJxKddcvDkW1ChXyx-8XuKvUpvZA@mail.gmail.com>,rshaposhnik
Fri Jun 24 17:53:52 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+unsT7vpOebGKFviztFtmPsosn6J7rL8GMZG5w_1BE88w@mail.gmail.com>,rshaposhnik
Fri Jun 24 22:30:16 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+vF+QnjTwTenw6N1MgsiApKrWbUq2+wkeXLk89rYzKXUg@mail.gmail.com>,rshaposhnik
Mon Jun  6 21:36:53 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+shdUmaECUVFf+ChAz6QTTjSk6fPzUV8YzdKVHebxsbfg@mail.gmail.com>,rshaposhnik
Sun Jun 12 02:35:05 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+sYK-8Cb3fS3GwHbFuBa_MV6=cTkuq1xpcL+-N51hOQpQ@mail.gmail.com>,rshaposhnik
Thu Jun 23 01:36:06 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+svjOdEy_9zSS67pTEj-P=x2yvjzTQMdSPKnfQhpeATww@mail.gmail.com>,rshaposhnik
Thu Jun 23 21:02:14 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+trNi19rjAESmVpLk6uPfv4U84bLZLY=2V_dDyZ51-CKQ@mail.gmail.com>,rshaposhnik
Thu Jun 23 23:58:57 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+ucE2ws142vOzDb+pbq27xn0oQ2FeiSwAw8d2J2FTmByg@mail.gmail.com>,rshaposhnik
Tue Jun  7 18:12:50 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201606.mbox/<CA+ULb+vgcvpN8t=D8nemm5TaTzxUdRMNanV3C8xe6VyZOp+=pA@mail.gmail.com>,rshaposhnik
Tue Jun 21 00:16:47 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+tDvGGvgmA32f8pGWR-XOd-yeAzxxaD4J-_1qiJuufHRQ@mail.gmail.com>,rshaposhnik
Tue Jun 21 00:38:08 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+vdBcXqgsmfzWfcxKjOqwogw4svo7ykTPuSnYF8zhBAyQ@mail.gmail.com>,rshaposhnik
Tue Jun 21 23:57:31 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+taBREB1KdSF0We2f2O8pLAfBrabtWb3dFg2OZD+OJUhg@mail.gmail.com>,rshaposhnik
Tue Jun 28 06:29:42 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+vLpd08XMqxxh2aJtxK-BocGajtkyUsWc0ysxUAgvtrDg@mail.gmail.com>,rshaposhnik
Wed Jun 22 18:03:47 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201606.mbox/<CA+ULb+v4BF5ti6ALpJeBUK1GsZ_xZ=Ydwmu3Mek5GfZdFaQYSg@mail.gmail.com>,rshaposhnik
