human_date_time,link,sender_names_alias
Thu Jan 12 05:21:27 2017,http://mail-archives.apache.org/mod_mbox/impala-commits/201701.mbox/<5d4d445e4011454084996a93c925907b@git.apache.org>,henry
Thu Jan 12 05:21:27 2017,http://mail-archives.apache.org/mod_mbox/impala-commits/201701.mbox/<6da641876d63467a86a1a25b72f4304b@git.apache.org>,henry
Thu Jan 12 05:21:29 2017,http://mail-archives.apache.org/mod_mbox/impala-commits/201701.mbox/<03ad715b33a94327820d68d3158e7299@git.apache.org>,henry
Thu Jan 12 05:21:29 2017,http://mail-archives.apache.org/mod_mbox/impala-commits/201701.mbox/<7ff8067ed6bd45c09ef646cb22b6f3cf@git.apache.org>,henry
Thu Jan 12 05:21:31 2017,http://mail-archives.apache.org/mod_mbox/impala-commits/201701.mbox/<71592567b9664e8f80ce996f26e2c8a3@git.apache.org>,henry
Thu Jan 12 05:21:33 2017,http://mail-archives.apache.org/mod_mbox/impala-commits/201701.mbox/<3fd2d57434ab4da68d2c50c857059937@git.apache.org>,henry
Thu Jan 12 23:46:55 2017,http://mail-archives.apache.org/mod_mbox/impala-commits/201701.mbox/<c617e83beaba44748677861d4aa6406b@git.apache.org>,henry
Thu Jan 12 23:46:55 2017,http://mail-archives.apache.org/mod_mbox/impala-commits/201701.mbox/<6a3f5d2a59004f1a907c96f7b4a776b3@git.apache.org>,henry
Thu Jan 12 23:47:08 2017,http://mail-archives.apache.org/mod_mbox/impala-commits/201701.mbox/<059880aad98d4d7e9fefec03d509bf06@git.apache.org>,henry
Thu Jan 12 23:47:11 2017,http://mail-archives.apache.org/mod_mbox/impala-commits/201701.mbox/<786f8eb0281b4303b8bfdc2b3925e69b@git.apache.org>,henry
Thu Jan 12 23:51:37 2017,http://mail-archives.apache.org/mod_mbox/impala-commits/201701.mbox/<1f993cbc462e42e0bc6b85da31fbd91f@git.apache.org>,henry
