human_date_time,link,sender_names_alias
Fri Oct 28 11:14:29 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201110.mbox/<4EAA8E53.4020003@bristol.ac.uk>,dsteer
Fri Oct 28 16:01:29 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201110.mbox/<4EAAD1A7.2080907@bristol.ac.uk>,dsteer
Fri Oct 28 16:38:29 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201110.mbox/<4EAADA54.7040104@bristol.ac.uk>,dsteer
Mon Nov  7 17:09:54 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4EB80509.8030008@bristol.ac.uk>,dsteer
Mon Nov  7 23:34:01 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<1682EB4D-7E62-4B3F-B761-A34373913816@bris.ac.uk>,dsteer
Mon Oct 31 20:30:19 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201110.mbox/<0637C675-9810-492C-A985-5B3670F8B329@bris.ac.uk>,dsteer
Sat Oct 22 08:35:49 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201110.mbox/<9FD301C7-7EEA-460A-9485-85E1A535A2F6@bris.ac.uk>,dsteer
Thu Nov 10 08:37:34 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201111.mbox/<FA6BA590-CD8D-4D5D-9121-22FDD0BA1299@bris.ac.uk>,dsteer
Thu Nov 10 09:48:51 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201111.mbox/<FCC84FCF-9A4D-4D37-83F5-BB39E3505D9A@bris.ac.uk>,dsteer
Thu Nov 10 14:51:13 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<ABE718CD-9620-4389-9B40-3A41AC0107E7@bris.ac.uk>,dsteer
Tue Nov  1 14:57:51 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4EB0087A.3030902@bristol.ac.uk>,dsteer
Tue Nov  1 15:26:58 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4EB00F90.5000301@bristol.ac.uk>,dsteer
Tue Nov  1 16:37:03 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4EB01FB0.7030302@bristol.ac.uk>,dsteer
Tue Oct 25 18:14:49 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201110.mbox/<CD75383B-6838-4BF0-BD05-52E4F995CE84@bris.ac.uk>,dsteer
Tue Oct 25 18:48:46 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201110.mbox/<41B018DC-2753-4684-8B4A-90404A8BF1A8@bris.ac.uk>,dsteer
Tue Oct 25 19:38:20 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201110.mbox/<281A4D2F-86F5-45C5-BB49-F0D8F0952079@bris.ac.uk>,dsteer
Wed Nov  2 22:24:02 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201111.mbox/<89FF34B0-A8A6-41D1-BE77-4A482ACF5AC9@bris.ac.uk>,dsteer
Wed Nov  9 08:30:32 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201111.mbox/<A73DB1DE-8A0C-4E35-BC24-91375F77227C@bris.ac.uk>,dsteer
Wed Nov 16 10:11:33 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201111.mbox/<98F9DB34-9A2F-46A3-BAB1-CCF2C6793838@bris.ac.uk>,dsteer
Wed Oct 19 11:38:22 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201110.mbox/<A90ABE07-C752-487C-BAD2-EA850864D884@bris.ac.uk>,dsteer
Wed Oct 26 10:51:35 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201110.mbox/<4EA7E603.50704@bristol.ac.uk>,dsteer
Wed Oct 26 12:36:21 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201110.mbox/<4EA7FE82.6030503@bristol.ac.uk>,dsteer
Wed Oct 26 14:52:35 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201110.mbox/<4EA81E7F.2080703@bristol.ac.uk>,dsteer
