human_date_time,link,sender_names_alias
Fri Dec  2 12:46:29 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201112.mbox/<4ED8C884.2090108@epimorphics.com>,idickinson
Fri Dec  9 21:26:03 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201112.mbox/<4EE27CCC.6040706@epimorphics.com>,idickinson
Fri Dec 16 01:12:10 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201112.mbox/<4EEA9AC9.3090902@epimorphics.com>,idickinson
Fri Nov 25 20:31:16 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4ECFFAF3.6070803@epimorphics.com>,idickinson
Mon Dec  5 13:54:37 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201112.mbox/<4EDCCD00.5090104@epimorphics.com>,idickinson
Mon Nov 21 13:30:12 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4ECA5243.9040404@epimorphics.com>,idickinson
Sat Dec 17 01:43:58 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201112.mbox/<4EEBF3BE.1000500@epimorphics.com>,idickinson
Sun Nov 20 18:55:30 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4EC94D01.9070304@epimorphics.com>,idickinson
Sun Nov 20 19:07:36 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4EC94FDA.70406@epimorphics.com>,idickinson
Thu Nov 24 09:00:45 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201111.mbox/<4ECE0798.9040109@epimorphics.com>,idickinson
Tue Dec  6 09:41:16 2011,http://mail-archives.apache.org/mod_mbox/jena-users/201112.mbox/<4EDDE31D.4030709@epimorphics.com>,idickinson
Wed Dec  7 15:29:21 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201112.mbox/<4EDF8630.1080703@epimorphics.com>,idickinson
Wed Nov 23 00:25:22 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4ECC3D53.6050105@epimorphics.com>,idickinson
Wed Nov 23 00:34:11 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4ECC3F63.5080303@epimorphics.com>,idickinson
Wed Nov 23 00:43:38 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4ECC419C.1040209@epimorphics.com>,idickinson
Wed Nov 23 11:42:23 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4ECCDBFE.7020108@epimorphics.com>,idickinson
Wed Nov 23 14:03:47 2011,http://mail-archives.apache.org/mod_mbox/jena-dev/201111.mbox/<4ECCFD24.7090106@epimorphics.com>,idickinson
