human_date_time,link,sender_names_alias
Fri Jul  7 03:04:07 2017,http://mail-archives.apache.org/mod_mbox/juneau-dev/201707.mbox/<20170707030404.17254.2094@johns-mbp-2.home>,johndament
Fri Jun 30 00:51:29 2017,http://mail-archives.apache.org/mod_mbox/juneau-dev/201706.mbox/<20170630005125.6867.78915@johns-mbp-2.home>,johndament
Fri Jun 30 12:50:40 2017,http://mail-archives.apache.org/mod_mbox/juneau-dev/201706.mbox/<20170630125026.23569.19546@johns-mbp-2.home>,johndament
Mon Jul  3 10:49:22 2017,http://mail-archives.apache.org/mod_mbox/juneau-dev/201707.mbox/<20170703104920.73435.53911@johns-mbp-2.home>,johndament
Sat Jul  1 10:48:59 2017,http://mail-archives.apache.org/mod_mbox/juneau-dev/201707.mbox/<20170701104851.45820.29032@johns-mbp-2.home>,johndament
Sun Jul  2 10:35:15 2017,http://mail-archives.apache.org/mod_mbox/juneau-dev/201707.mbox/<20170702103512.14063.91211@johns-mbp-2.home>,johndament
Sun Jul 16 23:22:44 2017,http://mail-archives.apache.org/mod_mbox/juneau-commits/201707.mbox/<f5adbb6867e84f489630876929e438f3@git.apache.org>,johndament
Thu Jun 29 01:06:12 2017,http://mail-archives.apache.org/mod_mbox/juneau-dev/201706.mbox/<20170629010605.10409.51151@johns-mbp-2.home>,johndament
Tue Jun 27 23:54:39 2017,http://mail-archives.apache.org/mod_mbox/juneau-dev/201706.mbox/<20170627235436.85630.16674@johns-mbp-2.home>,johndament
Wed Jul  5 14:00:40 2017,http://mail-archives.apache.org/mod_mbox/juneau-dev/201707.mbox/<20170705140036.8934.17890@johns-mbp-2.home>,johndament
