human_date_time,link,sender_names_alias
Fri Apr 20 05:53:31 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt82VhO+0FZM1f3L0iB-7uAEVzto+xj2P8qPEm9wD=0Qeg@mail.gmail.com>,dweiss
Mon Apr  2 07:08:51 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt-+skcb9RJGQTX4sFM+g7DPfiWVBZmZbjRYSuCyqtUO_w@mail.gmail.com>,dweiss
Mon Apr  2 16:54:45 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt8G9+-St1=NE2zpHyEvWoXD_wTb+kx7w0DF0X=9ZKOUHg@mail.gmail.com>,dweiss
Mon Apr  2 16:59:54 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt9GB7G7MwqkTSfd-z=1Bf2g9iTQnj2DTWnPmcKRvk8VnA@mail.gmail.com>,dweiss
Mon Apr  2 17:13:23 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt8Y67SvVe+DhpNToSJtYyb07NPKrfy2hPexmnF2iayyrQ@mail.gmail.com>,dweiss
Mon Apr  2 19:45:33 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt-do=PmNH+tENqN+qsg2Y8tyzv=j8UiQ4b42eWCQ0x_fw@mail.gmail.com>,dweiss
Mon Apr  2 20:25:52 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt-1__hdKcdHQvUH-hmHVC9HZ634C7YU3-qirLouJHLLOg@mail.gmail.com>,dweiss
Mon Apr  2 21:15:35 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt-EH-zf6NGHADt5PxJBU9ekUtXNk+vHcC2BvV1ijuw5RQ@mail.gmail.com>,dweiss
Mon Apr  2 22:06:15 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt_zAA4G9XtecThdf-92xxzLCqOAWr2m9KfB7_tKVfRg8A@mail.gmail.com>,dweiss
Mon Apr  2 22:27:01 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt_iHCtHS9OrXoLXae-NanTtVDPHsvm9T9cZFJiHVfmGxA@mail.gmail.com>,dweiss
Mon Apr  2 22:33:11 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt9OWv4SQkim=T39E4ib1NV-TcTF2jcuV5emGrEoL3bZkQ@mail.gmail.com>,dweiss
Mon Apr  2 22:37:28 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt92poCwPz7+7rvB_aMnQN7nHC-6kWgAo=HKwKnvb6wG6Q@mail.gmail.com>,dweiss
Mon Apr 16 06:42:32 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt9viuKdyYjY=AYxgKhqSCSsM7-eXok=7MgDjpmb79KWTw@mail.gmail.com>,dweiss
Mon Apr 16 06:53:13 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt_35X-x8o1JSL85hdxzjs6PQ4FzOisjhHQBEXERpHQS7w@mail.gmail.com>,dweiss
Mon Apr 16 06:57:23 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201204.mbox/<CAM21Rt-YdDL48F6WtP+zxfAc7B70ELzN4H4t0sb85jsAYTazFQ@mail.gmail.com>,dweiss
