human_date_time,link,sender_names_alias
Fri Jul  6 02:34:39 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207051933420.14313@bester>,chostetter
Fri Jul 13 00:29:48 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207121715020.20121@frisbee>,chostetter
Fri Jul 13 17:32:28 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207131026470.5664@frisbee>,chostetter
Fri Jul 20 19:33:58 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207201218470.7107@frisbee>,chostetter
Fri Jul 27 00:14:52 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207261714130.3069@frisbee>,chostetter
Fri Jul 27 17:12:29 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207271009200.3161@frisbee>,chostetter
Fri Jul 27 18:30:14 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207271103330.3161@frisbee>,chostetter
Fri Jun 29 17:53:50 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201206.mbox/<alpine.DEB.2.00.1206291048490.11760@bester>,chostetter
Mon Jul  2 17:56:42 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207021044070.441@bester>,chostetter
Mon Jul 16 17:26:47 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207161025240.7202@frisbee>,chostetter
Mon Jul 16 19:28:02 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207161216530.7202@frisbee>,chostetter
Mon Jul 16 19:47:10 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207161243020.7202@frisbee>,chostetter
Mon Jul 16 19:59:33 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207161247130.7202@frisbee>,chostetter
Mon Jul 16 20:12:59 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207161306330.7202@frisbee>,chostetter
Mon Jul 16 21:53:26 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207161449020.7202@frisbee>,chostetter
Sat Jul 28 00:49:32 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207271747170.2482@frisbee>,chostetter
Thu Jul  5 18:51:48 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207051150270.14313@bester>,chostetter
Thu Jul  5 19:08:18 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207051201410.14313@bester>,chostetter
Thu Jul 19 18:45:03 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207191142470.21113@frisbee>,chostetter
Thu Jul 19 18:52:01 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207191150410.21113@frisbee>,chostetter
Tue Jul  3 00:18:36 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207021713500.441@bester>,chostetter
Tue Jul  3 20:16:44 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207031307201.7958@bester>,chostetter
Tue Jul  3 21:58:25 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207031447490.7958@bester>,chostetter
Tue Jul  3 22:19:18 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207031516550.7958@bester>,chostetter
Wed Jul  4 02:41:01 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207031932570.7958@bester>,chostetter
Wed Jul  4 17:29:09 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207041019360.11424@bester>,chostetter
Wed Jul  4 17:53:24 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207041040460.11424@bester>,chostetter
Wed Jul  4 18:03:39 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207041100040.11424@bester>,chostetter
Wed Jul  4 18:12:36 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.00.1207041103200.11424@bester>,chostetter
Wed Jul 11 23:24:47 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207111620150.7331@frisbee>,chostetter
Wed Jul 11 23:52:34 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207111642290.7331@frisbee>,chostetter
Wed Jul 18 18:20:07 2012,http://mail-archives.apache.org/mod_mbox/lucene-java-user/201207.mbox/<alpine.DEB.2.02.1207181117000.2443@frisbee>,chostetter
Wed Jul 18 18:42:48 2012,http://mail-archives.apache.org/mod_mbox/lucene-general/201207.mbox/<alpine.DEB.2.02.1207181139570.2443@frisbee>,chostetter
Wed Jul 18 18:54:18 2012,http://mail-archives.apache.org/mod_mbox/lucene-general/201207.mbox/<alpine.DEB.2.02.1207181142350.2443@frisbee>,chostetter
Wed Jul 18 22:59:46 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207181550270.2443@frisbee>,chostetter
Wed Jul 25 05:26:51 2012,http://mail-archives.apache.org/mod_mbox/lucene-dev/201207.mbox/<alpine.DEB.2.02.1207242207300.21900@frisbee>,chostetter
