human_date_time,link,sender_names_alias
Fri Jul  1 12:38:44 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201107.mbox/<4E0DBFAF.9060305@cs.indiana.edu>,mpierce
Mon Jul 11 16:58:40 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201107.mbox/<4E1B2B9F.4060802@cs.indiana.edu>,mpierce
Mon Jul 18 16:28:17 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201107.mbox/<4E245F00.2070806@cs.indiana.edu>,mpierce
Mon Jul 25 14:37:38 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201107.mbox/<4E2D7F94.7080305@cs.indiana.edu>,mpierce
Mon Jul 25 15:11:13 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201107.mbox/<4E2D8772.4080100@cs.indiana.edu>,mpierce
Mon Jul 25 20:09:14 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201107.mbox/<4E2DCD4C.4050505@cs.indiana.edu>,mpierce
Sun Jul 17 03:10:11 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201107.mbox/<4E225267.3060801@cs.indiana.edu>,mpierce
Thu Jun 30 13:03:58 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201106.mbox/<4E0C7416.7010706@cs.indiana.edu>,mpierce
Thu Jun 30 14:35:17 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201106.mbox/<4E0C8982.30102@cs.indiana.edu>,mpierce
Thu Jun 30 17:25:34 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201106.mbox/<4E0CB171.5050700@cs.indiana.edu>,mpierce
Tue Jul  5 20:55:15 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201107.mbox/<4E137A14.3090705@cs.indiana.edu>,mpierce
Tue Jul  5 21:46:09 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201107.mbox/<4E1385FE.3060306@cs.indiana.edu>,mpierce
Wed Jun 29 18:18:51 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201106.mbox/<4E0B6C6E.7050808@cs.indiana.edu>,mpierce
Wed Jun 29 19:09:21 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201106.mbox/<4E0B7842.9000204@cs.indiana.edu>,mpierce
Wed Jun 29 19:32:24 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201106.mbox/<4E0B7DAA.90007@cs.indiana.edu>,mpierce
Wed Jun 29 19:56:57 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201106.mbox/<4E0B836A.9010106@cs.indiana.edu>,mpierce
Wed Jun 29 20:04:15 2011,http://mail-archives.apache.org/mod_mbox/rave-dev/201106.mbox/<4E0B8520.902@cs.indiana.edu>,mpierce
