human_date_time,link,sender_names_alias
Fri Feb  6 20:52:35 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-dev/200402.mbox/<20040206205225.GA32639@mail.herk.net>,mparker
Fri Jan 30 06:53:51 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-dev/200401.mbox/<20040130065304.GA24605@mail.herk.net>,mparker
Sun Feb  8 16:36:47 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-dev/200402.mbox/<20040208163639.GA11927@mail.herk.net>,mparker
Sun Feb  8 19:26:07 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-dev/200402.mbox/<20040208192545.GA12698@mail.herk.net>,mparker
Sun Feb  8 19:58:31 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-dev/200402.mbox/<20040208195822.GA12953@mail.herk.net>,mparker
Thu Feb 12 21:23:12 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<20040212212254.GB18814@mail.herk.net>,mparker
Thu Feb 12 22:36:59 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<20040212223641.GA19453@mail.herk.net>,mparker
Thu Jan 22 00:09:47 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-dev/200401.mbox/<20040122000936.GA20796@mail.herk.net>,mparker
Thu Jan 29 02:37:24 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-dev/200401.mbox/<20040129023710.GA8013@mail.herk.net>,mparker
Tue Feb  3 22:35:46 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<20040203223453.GA550@mail.herk.net>,mparker
Tue Feb  3 22:58:17 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<20040203225746.GA820@mail.herk.net>,mparker
Wed Jan 21 23:02:53 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-dev/200401.mbox/<20040121230244.GA3280@mail.herk.net>,mparker
