human_date_time,link,sender_names_alias
Fri Feb 27 06:41:01 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<87llmp2ffw.fsf@nezumi.home.spb>,emorozov
Fri Mar 12 15:28:18 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<87k71q3x1e.fsf@nezumi.eltex.net>,emorozov
Fri Mar 12 16:30:39 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<87ad2m3u4x.fsf@nezumi.eltex.net>,emorozov
Mon Mar 15 09:03:18 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<87hdwq8otv.fsf@nezumi.eltex.net>,emorozov
Sun Feb 22 15:10:47 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<87wu6f88dr.fsf@nezumi.home.spb>,emorozov
Thu Feb 26 06:27:37 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<87wu6ajr12.fsf@nezumi.home.spb>,emorozov
Thu Feb 26 21:15:18 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<87ptc135mc.fsf@nezumi.home.spb>,emorozov
Thu Mar 18 10:46:15 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<87brmu1lhi.fsf@nezumi.eltex.net>,emorozov
Tue Feb 24 21:37:52 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<878yisupnz.fsf@nezumi.home.spb>,emorozov
Tue Feb 24 21:41:00 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<874qtgupm4.fsf@nezumi.home.spb>,emorozov
Tue Mar  9 08:45:23 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<87u10ymmt4.fsf@nezumi.eltex.net>,emorozov
Wed Mar  3 10:28:55 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<87smgqusvh.fsf@online.ru>,emorozov
Wed Mar  3 11:55:42 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<87fzcqupao.fsf@online.ru>,emorozov
