human_date_time,link,sender_names_alias
Fri Feb 20 00:41:59 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<1077237702.1732.89.camel@johnh>,jhardin
Fri Feb 20 18:01:02 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<1077300049.5340.77.camel@johnh>,jhardin
Mon Feb 23 17:00:05 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<1077555593.19947.14.camel@johnh>,jhardin
Mon Feb 23 17:26:49 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<1077557196.19946.19.camel@johnh>,jhardin
Mon Feb 23 17:30:33 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<1077557421.19947.23.camel@johnh>,jhardin
Mon Feb 23 22:02:56 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<1077573762.19950.123.camel@johnh>,jhardin
Mon Mar  1 16:12:40 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<1078157546.17605.12.camel@johnh>,jhardin
Mon Mar  8 23:17:49 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<1078787802.18587.73.camel@johnh>,jhardin
Sun Feb 29 19:09:12 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<1078081738.16209.24.camel@johnh>,jhardin
Sun Feb 29 19:11:01 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<1078081848.16209.26.camel@johnh>,jhardin
Thu Feb 19 16:10:03 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<1077206992.18177.6.camel@johnh>,jhardin
Thu Feb 19 20:58:20 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<1077224285.1725.72.camel@johnh>,jhardin
Thu Mar 11 17:51:50 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<1079027494.465.30.camel@johnh>,jhardin
Thu Mar 18 16:59:46 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<1079629035.27347.22.camel@johnh>,jhardin
Tue Mar  9 01:08:45 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<1078794504.18586.86.camel@johnh>,jhardin
Tue Mar  9 21:02:51 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<1078866153.23825.30.camel@johnh>,jhardin
Tue Mar  9 23:29:13 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<1078874936.23825.76.camel@johnh>,jhardin
Wed Feb 18 22:58:30 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200402.mbox/<1077145095.14203.133.camel@johnh>,jhardin
Wed Mar 10 00:02:52 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<1078876955.23827.79.camel@johnh>,jhardin
Wed Mar 17 16:36:28 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<1079541372.23284.39.camel@johnh>,jhardin
Wed Mar 17 22:54:58 2004,http://mail-archives.apache.org/mod_mbox/spamassassin-users/200403.mbox/<1079564076.23284.113.camel@johnh>,jhardin
