human_date_time,link,sender_names_alias
Fri Jul 24 16:58:52 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200907.mbox/<4A69E867.6070807@facebook.com>,dreiss
Fri Jul 24 17:01:48 2009,http://mail-archives.apache.org/mod_mbox/thrift-user/200907.mbox/<4A69E91E.5010006@facebook.com>,dreiss
Mon Jul 13 23:24:48 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200907.mbox/<4A5BC22E.7040906@facebook.com>,dreiss
Mon Jul 20 17:31:20 2009,http://mail-archives.apache.org/mod_mbox/thrift-user/200907.mbox/<4A64AA05.2080504@facebook.com>,dreiss
Thu Jul 16 03:27:08 2009,http://mail-archives.apache.org/mod_mbox/thrift-user/200907.mbox/<4A5E97ED.5000400@facebook.com>,dreiss
Thu Jul 23 17:10:08 2009,http://mail-archives.apache.org/mod_mbox/thrift-user/200907.mbox/<4A689992.20005@facebook.com>,dreiss
Tue Aug  4 17:14:19 2009,http://mail-archives.apache.org/mod_mbox/thrift-user/200908.mbox/<4A786C52.6020609@facebook.com>,dreiss
Tue Jul 21 17:35:38 2009,http://mail-archives.apache.org/mod_mbox/thrift-user/200907.mbox/<4A65FA4A.5030109@facebook.com>,dreiss
Tue Jul 21 17:35:40 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200907.mbox/<4A65FA93.2000908@facebook.com>,dreiss
Wed Aug  5 16:44:18 2009,http://mail-archives.apache.org/mod_mbox/thrift-user/200908.mbox/<4A79B6C6.3000405@facebook.com>,dreiss
Wed Jul 22 16:30:30 2009,http://mail-archives.apache.org/mod_mbox/thrift-user/200907.mbox/<4A673E6F.5020205@facebook.com>,dreiss
Wed Jul 29 19:11:28 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200907.mbox/<4A709EC1.8020407@facebook.com>,dreiss
