human_date_time,link,sender_names_alias
Fri Jun  2 22:55:23 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200606.mbox/<20060602225457.70E8886B13@ws7-1.us4.outblaze.com>,mkunnumpurath
Mon May  8 13:50:15 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200605.mbox/<3E7FE7F1841E3441A566885FEDDCDECE538669@SPR3V2.office.local>,mkunnumpurath
Mon May  8 18:15:45 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200605.mbox/<3E7FE7F1841E3441A566885FEDDCDECE571F7A@SPR3V2.office.local>,mkunnumpurath
Sun May  7 19:14:57 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200605.mbox/<20060507191431.CA5A7E5BC7@ws7-2.us4.outblaze.com>,mkunnumpurath
Thu Jun  1 10:29:26 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200606.mbox/<53EC6802E2BF4643BBD5BC34D2C3A3834A0031@SPR3V4.office.local>,mkunnumpurath
Thu Jun  1 13:54:49 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200606.mbox/<53EC6802E2BF4643BBD5BC34D2C3A3834E0112@SPR3V4.office.local>,mkunnumpurath
Thu Jun  1 14:44:20 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200606.mbox/<53EC6802E2BF4643BBD5BC34D2C3A3834E022B@SPR3V4.office.local>,mkunnumpurath
Thu Jun  1 15:44:59 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200606.mbox/<53EC6802E2BF4643BBD5BC34D2C3A3834E0358@SPR3V4.office.local>,mkunnumpurath
Tue May  9 16:29:19 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200605.mbox/<3E7FE7F1841E3441A566885FEDDCDECE572282@SPR3V2.office.local>,mkunnumpurath
Tue May  9 16:49:48 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200605.mbox/<3E7FE7F1841E3441A566885FEDDCDECE57229D@SPR3V2.office.local>,mkunnumpurath
Wed May 10 15:14:11 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200605.mbox/<3E7FE7F1841E3441A566885FEDDCDECE57257E@SPR3V2.office.local>,mkunnumpurath
Wed May 10 15:18:36 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200605.mbox/<3E7FE7F1841E3441A566885FEDDCDECE572560@SPR3V2.office.local>,mkunnumpurath
Wed May 31 09:15:35 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200605.mbox/<53EC6802E2BF4643BBD5BC34D2C3A38349F345@SPR3V4.office.local>,mkunnumpurath
