human_date_time,link,sender_names_alias
Thu Dec 29 22:25:14 2011,http://mail-archives.apache.org/mod_mbox/bval-dev/201112.mbox/<1325197307.65138.YahooMailNeo@web27806.mail.ukl.yahoo.com>,mstruberg
Tue Jan  3 17:08:41 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1325610488.56497.YahooMailNeo@web27803.mail.ukl.yahoo.com>,mstruberg
Wed Jan  4 22:00:54 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1325714423.98621.YahooMailNeo@web27801.mail.ukl.yahoo.com>,mstruberg
Sun Jan  8 20:09:36 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1326053344.87247.YahooMailNeo@web27802.mail.ukl.yahoo.com>,mstruberg
Sun Jan  8 20:36:13 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1326054942.52876.YahooMailNeo@web27806.mail.ukl.yahoo.com>,mstruberg
Sun Jan  8 21:05:49 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1326056718.13464.YahooMailNeo@web27802.mail.ukl.yahoo.com>,mstruberg
Tue Jan 10 21:23:25 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1326230576.27586.YahooMailNeo@web27808.mail.ukl.yahoo.com>,mstruberg
Tue Jan 10 21:44:28 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1326231838.76197.YahooMailNeo@web27804.mail.ukl.yahoo.com>,mstruberg
Wed Jan 11 10:27:15 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1326277382.90370.YahooMailNeo@web27801.mail.ukl.yahoo.com>,mstruberg
Wed Jan 11 10:46:24 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1326278737.92359.YahooMailNeo@web27808.mail.ukl.yahoo.com>,mstruberg
Wed Jan 11 10:46:54 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1326278771.6180.YahooMailNeo@web27801.mail.ukl.yahoo.com>,mstruberg
Wed Jan 11 12:02:50 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1326282932.26270.YahooMailNeo@web27801.mail.ukl.yahoo.com>,mstruberg
Wed Jan 11 15:49:17 2012,http://mail-archives.apache.org/mod_mbox/bval-dev/201201.mbox/<1326296927.35100.YahooMailNeo@web27808.mail.ukl.yahoo.com>,mstruberg
